Museum_Location,Registration Nr.,Length_Left_Maxillae,Length_Right_Maxillae,Rostrum_Length, Condylobasal_Length ,Width_Occipital_Condyles,Year,Date,Location,Country,Sex,Size (cm),Weight (kg),Life stage,Notes,,,
Edinburgh,1995.93.5,NA,NA,NA,NA,6.926,1995,1995-03-13,"Boddam, Aberdeenshire, Scotland, Northern Europe",Scotland,F,147.0,NA,adult,"rostrum broken, lat: 59,918643, long: -1.281383",,,
Edinburgh,1995.93.6,21.340,21.638,9.818,26.093,7.051,1995,1995-03-09,"Quarff, Shetland, Scotland, Northern Europe",Scotland,F,161.0,NA,adult,"lat:60,099121, long: -1.221388",,,
Edinburgh,1995.39.10,19.008,18.653,7.713,23.338,7.785,1994,1994-10-28,"Gourdon, Kincardineshire, Scotland, Northern Europe",Scotland,M,142.0,NA,adult,"lat: 56,832422, long:-2.274470",,,
Edinburgh,1995.39.11,20.439,20.538,8.827,24.574,7.566,1994,1994-10-14,"Fortrose, Ross and Cromarty, Scotland, Northern Europe",Scotland,M,130.0,NA,subadult,"lat: 57,574536, long:-4.100136",,,
Edinburgh,1995.40.2,19.676,19.624,9.211,24.764,7.281,1994,1994-10-23,"Porthluney Cove, Cornwall, England, Northern Europe",England,F,138.0,NA,subadult,"lat:50,23643, long: -4.843090",,,
Edinburgh,1995.40.3,22.246,21.909,10.465,27.625,7.571,1995,1995-01-24,"Aberaeron, Dyfed, Wales, Northern Europe",Wales,M,154.0,NA,adult,"lat:NA, long:NA",,,
Edinburgh,1995.40.8,24.327,24.683,10.907,28.565,8.635,1994,1994-12-05,"Marazion, Cornwall, England, Northern Europe",England,F,178.0,NA,adult,"lat:50,126763, long:-5.498473",,,
Edinburgh,1995.39.4,22.376,22.326,10.186,27.246,7.577,1994,1994-09-16,"Balephetrish, Tiree, Argyll, Scotland, Northern Europe",Scotland,F,148.0,NA,adult,"lat:56,520073, long:-6.886869",,,
Edinburgh,1995.39.5,19.241,19.013,8.916,22.766,6.386,1994,1994-09-29,"Shandwick Bay, Ross and Cromarty, Scotland, Northern Europe",Scotland,M,122.0,NA,juvenile,"lat: 57,750644, long: -3.916260",,,
Edinburgh,1995.39.6,20.734,20.862,9.620,25.740,7.888,1994,1994-09-17,"Balintore, Ross and Cromarty, Scotland, Northern Europe",Scotland,F,150.0,NA,adult,"lat: 57,764438, long: -3.895136",,,
Edinburgh,1995.39.7,20.814,20.327,9.539,25.508,7.004,1994,1994-10-23,"Saltburn, Invergordon, Ross and Cromarty, Scotland, Northern Europe",Scotland,M,122.0,NA,juvenile,"lat: 57,7078, long:-4.123812",,,
Edinburgh,1995.39.9,22.482,22.230,10.072,27.509,7.065,1994,1994-08-11,"Thorntonloch, East Lothian, Scotland, Northern Europe",Scotland,F,143.0,NA,adult,"lat:55,961522, long:-2.397448",,,
Edinburgh,1995.32.2,21.365,21.343,9.748,26.461,6.639,1994,1994-11-05,"Aberdovey, Gwynedd, Wales, Northern Europe",Wales,F,148.0,NA,adult,"lat:NA, long:NA",,,
Edinburgh,1995.32.4,NA,23.294,10.206,27.958,NA,1994,1994-12-13,"Manorbier, Dyfed, Wales, Northern Europe",Wales,F,160.0,NA,adult,"half a skull, lat:NA, long:NA",,,
Edinburgh,1995.32.5,21.187,21.205,10.001,25.573,7.403,1994,1994-11-14,"Pendine, Dyfed, Wales, Northern Europe",Wales,M,141.0,NA,adult,"lat:NA, long:NA",,,
Edinburgh,1995.32.9,21.196,20.998,9.459,26.394,7.832,1994,1994-12-30,"Bosham Harbour, West Sussex, England, Northern Europe",England,F,145.0,NA,adult,"lat:50,82324, long: -0.862052",,,
Edinburgh,1995.39.1,18.034,18.135,8.096,22.591,6.015,1994,1994-12-09,"Burghead, Morayshire, Scotland, Northern Europe",Scotland,M,104.0,NA,juvenile,"lat:57,693046, long:-3.489593",,,
Edinburgh,1995.32.3,25.276,NA,11.148,30.697,NA,1994,1994-11-03,"Aberdesach, Gwynedd, Wales, Northern Europe",Wales,F,162.0,NA,adult,"half a skull, lat:NA, long:NA",,,
Edinburgh,1997.112.11(SW1996_94),23.014,22.834,10.688,27.695,8.281,1996,1996-05-26,"Rhosselli Beach, Dyfed, Wales, Northern Europe",Wales,F,166.0,NA,adult,"lat:51,597605, long: -4.296297",,,
Edinburgh,1997.112.12,24.911,25.156,11.754,30.352,7.802,1997,1997-06-19,"Pembrey, Dyfed, Wales, Northern Europe",Wales,F,172.0,NA,adult,"lat:51,702323, long:-4.366726",,,
Edinburgh,1997.112.10(SW1996_129),22.289,22.313,10.312,27.720,7.709,1996,1996-07-31,"Crosby Sands, Merseyside, England, Northern Europe",England,M,164.0,NA,adult,"lat:53,478254, long:-3.044585
",,,
Edinburgh,1997.112.9(S1954),NA,NA,NA,NA,6.769,1996,1996-09-29,"Aberystwyth, Dyfed, Wales, Northern Europe",Wales,F,112.0,NA,juvenile,"rostrum broken, lat:52,417123, long:-4.085714",,,
Edinburgh,1997.112.8(SW1996_160),NA,24.893,11.413,NA,NA,1996,1996-10-23,"Fishguard, Dyfed, Wales, Northern Europe",Wales,F,191.0,NA,adult,"only half a skull, no ventral picture, lat:51,997003, long:-4.973740",,,
Edinburgh,1997.112.7(SW1996_107),23.753,NA,11.149,29.530,NA,1996,1996-06-24,"Ynyslas, Dyfed, Wales, Northern Europe",Wales,F,171.0,NA,adult,"only half a skull, lat: 52,532814, long:-4.051385",,,
Edinburgh,1997.112.6(SW1996_163),22.415,NA,10.006,27.863,NA,1996,1996-10-31,"Porthmadog, Gwynedd, Wales, Northern Europe",Wales,M,159.0,NA,adult,"only half a skull, lat:52,912466, long: -4.189758",,,
Edinburgh,1997.112.5(SW1996_31),19.940,20.190,9.682,26.267,6.680,1996,1996-01-28,"Port Erin, Isle of Man, Northern Europe",Isle of Man,F,131.0,NA,subadult,"lat:54,352225, long: -4,3802996",,,
Edinburgh,1996.137.75(HP4_96),18.679,18.366,8.821,22.467,7.020,1996,1996-03-25,"Tinabarna, County Wexford, Ireland, Northern Europe",Ireland,M,110.0,NA,juvenile,"lat:NA, long:NA",,,
Edinburgh,1997.112.3(SW1995_109),NA,17.632,8.129,21.127,NA,1995,1995-09-08,"Borthwen, Anglesey, Wales, Northern Europe",Wales,M,110.0,NA,juvenile,"half a skull, lat:53,35953, long:-4.562697",,,
Edinburgh,1996.137.74(HP3_96),19.172,19.099,9.036,25.123,7.230,1996,1996-02-29,"Ardmore, County Wexford, Ireland, Northern Europe",Ireland,F,137.0,NA,subadult,"lat:NA, long:NA",,,
Edinburgh,1996.137.73(HP2_96),NA,NA,NA,NA,8.438,1996,1996-02-15,"Dunmore East, County Waterford, Ireland, Northern Europe",Ireland,M,134.0,NA,juvenile,"rostrum broken, lat:NA, long:NA",,,
Edinburgh,1996.137.72(HP8_93A),21.097,20.999,10.097,25.652,7.421,NA,NA,NA,NA,NA,NA,NA,adult,"lat:NA, long:NA",,,
Edinburgh,1996.137.71(HP22),23.564,22.876,10.712,27.854,8.033,1993,1993-00-00,NA,NA,NA,NA,NA,subadult,"lat:NA, long:NA",,,
Edinburgh,1996.13.770(HP21_93),21.355,21.809,10.016,24.916,6.584,1993,1993-00-00,"Trabolgan, County Cork, Ireland",Ireland,M,122.0,NA,juvenile,"lat:NA, long:NA",,,
Edinburgh,1996.137.69(HP8_8_193),19.845,NA,9.126,24.901,6.614,1993,1993-06-06,"Bettystown, County Meath, Ireland, Northern Europe",Ireland,M,145.0,NA,subadult,"right rostrum broken, fused occipital condyles, lat:NA, long:NA",,,
Edinburgh,1996.137.68(HP6_13),19.343,18.964,9.040,24.005,6.971,1993,1993-00-00,"Inch Strand, County Kerry, Ireland, Northern Europe",Ireland,M,NA,NA,subadult,"size was mentioned as ""158.0? seems incorrect based on phase"", lat:NA, long:NA",,,
Edinburgh,1996.137.767(HP1),19.463,19.340,9.027,24.113,7.050,NA,NA,Atlantic Ocean,NA,M,NA,NA,adult," lat:NA, long:NA",,,
Edinburgh,1996.137.65(CBC14),20.288,20.507,9.113,24.687,7.613,1994,1994-01-23,Atlantic Ocean,NA,M,130.0,NA,subadult," lat:NA, long:NA",,,
Edinburgh,1996(CBC13),23.014,22.977,10.433,27.888,7.853,NA,NA,NA,NA,NA,NA,NA,NA," lat:NA, long:NA",,,
Edinburgh,1996.137.63(CBC11),19.445,19.312,9.039,23.678,6.667,NA,NA,"County Wexford, Ireland, Northern Europe",Ireland,M,121.0,NA,juvenile," lat:NA, long:NA",,,
Edinburgh,1996.137.59(CB1),20.167,19.873,9.005,25.064,7.288,NA,NA,"Dingle, County Kerry, Ireland, Northern Europe",Ireland,F,124.5,NA,juvenile,"lat:NA, long:NA",,,
Edinburgh,1996.137.61(CBC4),NA,NA,NA,NA,6.732,NA,NA,"Courtmacsherry, County Cork, Ireland, Northern Europe",Ireland,F,123.5,NA,juvenile,"rostrum broken, lat:NA, long:NA",,,
Edinburgh,1996.137.60(CBC2),20.099,20.020,9.021,24.701,7.198,NA,NA,NA,NA,M,119.0,NA,juvenile,"lat:NA, long:NA",,,
Edinburgh,1995.224.17,23.538,23.644,10.904,28.237,7.219,1995,1995-03-04,"Newgale, Dyfed, Wales, Northern Europe",Wales,F,158.0,NA,adult,"lat:NA, long:NA",,,
Edinburgh,1995.224.7(SW1995_63),20.045,NA,9.848,24.934,NA,1995,1995-06-11,"Tresarth, Dyfed, Wales, Northern Europe",Wales,M,144.0,NA,adult,"half a skull, lat:NA, long:NA",,,
Edinburgh,1995.224.6(SW1995_84),24.415,22.820,10.992,29.343,7.807,1995,1995-07-09,"Penbryn, Dyfed, Wales, Northern Europe",Wales,F,154.0,NA,adult,"right maxilla broken, lat:NA, long:NA",,,
Edinburgh,1995.224.5(SW1995_78),19.886,19.178,9.023,23.477,5.975,1995,1995-07-02,"Filey Brigg, Yorkshire, England, Northern Europe",England,M,111.0,NA,juvenile,"lat:NA, long:NA",,,
Edinburgh,1995.224.4(SW1995_57),19.501,19.772,8.834,23.494,6.277,1995,1995-05-14,"Aberystwyth, Dyfed, Wales, Northern Europe",Wales,M,138.0,NA,juvenile,"lat:NA, long:NA",,,
Edinburgh,1995.224.3(SW1995_86),25.263,24.919,11.388,30.059,NA,1995,1995-07-07,"Treandour Bay, Anglesey, Wales, Northern Europe",Wales,F,172.0,NA,adult,"very symmetrical looking skull: left occipital condyle broken, lat:NA, long:NA",,,
Edinburgh,1995.224.2(SW1995_52),21.103,21.024,10.046,26.544,6.530,1995,1995-04-20,"Seaton Carew, Teeside, England, Northern Europe",England,M,123.0,NA,juvenile,"nearly fused occipital condyles, lat:NA, long:NA",,,
Edinburgh,1995.224(SW1995_35),23.268,23.367,10.478,27.268,7.889,1995,1995-03-16,"Porthcothan, Padstow, Cornwall, England, Northern Europe",England,F,141.0,NA,subadult,"lat:NA, long:NA",,,
Edinburgh,1995.113.5,20.115,20.043,8.778,23.760,6.850,1994,1994-12-01,"St Andrews, Fife, Scotland, Northern Europe",Scotland,F,121.0,NA,juvenile,"lat:56,347699, long:-2.801657",,,
Edinburgh,1995.113.4,19.290,19.524,8.561,23.928,5.953,1995,1995-05-11,"Cromarty, Ross and Cromarty, Scotland, Northern Europe",Scotland,M,110.0,NA,juvenile,"left maxilla slightely broken, lat:57,683228, long:-4.033470",,,
Edinburgh,1995.113.3,21.407,21.613,9.188,26.558,7.248,1995,1995-04-23,"Cullen, Banffshire, Scotland, Northern Europe",Scotland,M,123.0,NA,subadult,"lat:57,693245, long: -2.831157
",,,
Edinburgh,1995.113.2,21.033,20.622,8.938,25.449,7.415,1995,1995-05-03,"Ardersier, Inverness-shire, Scotland, Northern Europe",Scotland,M,129.0,NA,subadult,"lat:57,600468, long: -4.015123
",,,
Edinburgh,1995.113.1,21.060,20.739,9.802,25.435,6.521,1995,1995-04-25,"Portessie, Buckie, Banffshire, Scotland, Northern Europe",Scotland,M,111.0,NA,juvenile,"lat:57,693479, long:-2.926780",,,
Edinburgh,1997.116.58(M1220_95),22.451,22.425,10.128,27.116,7.063,1995,1995-07-03,"Portessie, Banffshire, Scotland, Northern Europe",Scotland,F,132.0,NA,juvenile,"lat:57,687201, long: -2.932742",,,
Edinburgh,1997.116.57(M1575_95),19.486,19.621,9.183,24.793,7.199,1995,1995-08-15,"Beauly Firth, Moray Firth, North Sea, North Atlantic, ATLANTIC OCEAN",Scotland,F,119.0,NA,juvenile,"lat:57,490203, long: -4.262166",,,
Edinburgh,1997.116.55(M225_96),19.042,18.536,9.061,23.722,6.543,1996,1996-02-12,"Weisdale Voe, Shetland, Scotland, Northern Europe",Scotland,F,110.0,NA,juvenile,"lat:60,225341, long:-1.314071",,,
Edinburgh,1997.116.56(M1303_95),21.141,21.254,10.123,26.111,7.442,1995,1995-07-13,"Chanonry Point, Fortrose, Ross and Cromarty, Scotland, Northern Europe",Scotland,F,124.0,NA,juvenile,"lat:57,57401, long:-4.091760
",,,
Edinburgh,1997.116.52(M1744_95),22.176,21.216,10.096,NA,NA,1995,1995-09-04,"Aberdeen Beach, Aberdeenshire, Scotland, Northern Europ",Scotland,M,152.0,NA,adult,"ventral side of skull is missing, lat:57,15924, long:-2.077682
",,,
Edinburgh,1997.116.50(M2548_95),21.030,21.230,10.292,27.194,7.468,1995,1995-12-22,"Rosemarkie, Ross and Cromarty, Scotland, Northern Europe",Scotland,F,139.0,NA,subadult,"lat:57,600773, long:-4.103339",,,
Edinburgh,1997.116.49(M2461_95),21.574,21.264,10.111,26.719,7.311,1995,1995-12-06,"Dalchalm Beach, Brora, Sutherland, Scotland, Northern Europe",Scotland,F,131.0,NA,juvenile,"lat:58,024458, long: -3.838603",,,
Edinburgh,1997.116.45(M2335_95),21.513,21.119,9.736,25.664,7.296,1995,1995-11-17,"Myre Bay, South Walls, Orkney, Scotland, Northern Europe",Scotland,M,NA,NA,adult,"lat:58,801256, long:-3.166429",,,
Edinburgh,1997.112.18_S. W. 1997_128,20.363,19.938,9.103,25.103,7.468,1997,1997-07-30,"Borth, Dyfed, Wales, Northern Europe",Wales,F,129.0,NA,juvenile,"lat:52,491436, long:-4.052404",,,
Edinburgh,1997.112.15,24.781,24.639,11.319,28.704,7.468,1997,1997-07-17,"Fishguard, Dyfed, Wales, Northern Europe",Wales,M,160.0,NA,adult,"lat:52,003314, long:-4.991223
",,,
Edinburgh,1997.116.47,23.821,23.813,10.477,27.598,7.518,1995,1995-12-18,"Aberdeen Beach, Aberdeenshire, Scotland, Northern Europe",Scotland,M,153.0,NA,adult,"lat:57,20596, long:-2.062880
",,,
Edinburgh,1908.047,23.042,23.283,9.989,26.992,7.812,1908,1908-03-00,"Moray Firth, North Sea, North Atlantic, Atlantic Ocean",Scotland,NA,NA,NA,adult,"interesting dorsal morphology, lat:NA, long:NA",,,
Edinburgh,1929.117,25.338,25.421,11.502,30.911,8.283,1929,1929-05-08,"Achiltibuie, Ross and Cromarty, Scotland, Northern Europe",Scotland,NA,NA,NA,adult,"very slim, elongated looking skull, lat:58,023514, long:-5,355576",,,
Edinburgh,1929.119,23.270,22.749,10.288,28.057,7.596,1929,1929-09-04,"Aberlady, East Lothian, Scotland, Northern Europe",Scotland,NA,NA,NA,adult,"lat:56,01294, long:-2,861951",,,
Edinburgh,92.9,23.767,23.834,10.619,27.826,7.872,NA,NA,NA,NA,NA,NA,NA,NA,"lower jaw still attached, so measurements might be slightely off, lat:NA, long:NA",,,
Edinburgh,Z1990.15.22,22.890,22.921,9.914,26.604,8.096,1968,1968-01-19,"Silverknowes, Edinburgh, Midlothian, Scotland, Northern Europe",Scotland,NA,NA,NA,adult,"lat:55,979992, long:-3,278412
",,,
Edinburgh,IMGP0882,19.901,18.959,9.603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"only dorsal view available, lat:NA, long:NA",,,
Edinburgh,IMGP0883,NA,NA,NA,24.713,6.907,NA,NA,NA,NA,NA,NA,NA,NA,"only ventral view available, lat:NA, long:NA",,,
Edinburgh,Z1990.15.18,22.487,NA,10.656,26.225,NA,NA,NA,NA,NA,NA,NA,NA,NA,"only half a skull, lat:NA, long:NA",,,
Edinburgh,Z1989.23.2,NA,NA,NA,NA,8.017,1984,1984-06-08,"Fife Ness, Fife, Scotland, Northern Europe",Scotland,F,NA,NA,adult,"rostrum broken, only one measurement possible, lat:56,279465, long: -2,58411",,,
Edinburgh,1967.44,20.682,20.484,9.293,26.156,7.681,1967,1967-01-00,"Dirleton, East Lothian, Scotland, Northern Europe",Scotland,NA,NA,NA,juvenile,"lat:56,065042, long:-2,776167",,,
Edinburgh,Z1982.35,19.699,19.483,9.054,24.768,7.139,1981,1981-10-13,"Port Gordon, Morayshire, Scotland, Northern Europe",Scotland,M,NA,NA,adult,"lat:57,664415, long:-3,016027
",,,
Edinburgh,1990.15.20,22.234,21.338,10.357,27.612,7.595,NA,NA,NA,NA,NA,NA,NA,adult,"lower jaw still attached, thus measurements might be off, lat:NA, long:NA",,,
Edinburgh,1990.15.14,NA,18.338,8.718,NA,6.824,NA,NA,NA,NA,NA,NA,NA,juvenile,"rostrum broken, lowe jaw still attached so condylobasal length not measurable. lat:NA, long:NA",,,
Edinburgh,1990.15.15,20.689,21.534,10.106,27.122,7.458,NA,NA,NA,NA,NA,NA,NA,juvenile,"lat:NA, long:NA",,,
Edinburgh,Z1991.123.8,19.152,19.116,8.057,22.898,7.057,1990,1990-00-00,"Shetland, Scotland, Northern Europe",Scotland,M,125.0,NA,juvenile,"rostrum slightely broken, individual was 2 years old according to records, lat:60,402718, long:-1,23956",,,
Edinburgh,Z1991.123.9,21.856,NA,10.198,27.335,7.352,1990,1990-00-00,"Shetland, Scotland, Northern Europe",Scotland,M,143.0,NA,subadult,2year old individual according to records,,,
Edinburgh,Z1991.123.10,NA,NA,NA,NA,7.993,1990,1990-08-14,"Balmedie, Aberdeenshire, Scotland, Northern Europe",Scotland,F,146.0,NA,subadult,"rostrum too broken to measure most things, lat:57,247683, long: -2,038422",,,
